infected_unvaccinated,infected_vaccinated,total_vaccinated,total_pop
0,0,0,25000000
0,0,0,25000000
0,0,362,25000000
0,0,362,25000000
0,0,362,25000000
0,0,363,25000000
0,0,363,25000000
0,0,363,25000000
1,0,369,25000000
1,0,369,25000000
1,0,369,25000000
1,0,369,25000000
1,0,369,25000000
0,0,369,25000000
0,0,369,25000000
0,0,29600,25000000
0,0,29602,25000000
0,0,29602,25000000
0,0,29602,25000000
0,0,29602,25000000
0,0,29602,25000000
1,0,29602,25000000
1,0,29602,25000000
5,0,29602,25000000
4,0,29602,25000000
3,0,29604,25000000
3,0,29605,25000000
6,0,29605,25000000
6,0,29605,25000000
6,0,29605,25000000
5,0,29605,25000000
5,0,29605,25000000
3,0,29605,25000000
2,0,29605,25000000
1,0,29605,25000000
5,0,29605,25000000
5,0,29605,25000000
6,0,29605,25000000
6,0,30031,25000000
12,0,41615,25000000
14,0,41615,25000000
12,0,41615,25000000
11,0,41615,25000000
14,0,215247,25000000
14,0,215247,25000000
23,0,215247,25000000
25,0,215270,25000000
23,0,215270,25000000
23,0,215270,25000000
20,0,215270,25000000
31,0,215270,25000000
43,0,215270,25000000
38,0,215270,25000000
41,0,215270,25000000
41,0,215270,25000000
43,0,215270,25000000
53,2,215270,25000000
66,2,215270,25000000
161,3,215270,25000000
137,3,215270,25000000
157,2,215270,25000000
161,2,282212,25000000
153,0,282212,25000000
131,0,282260,25000000
166,1,455333,25000000
184,1,455346,25000000
315,1,455346,25000000
318,1,455346,25000000
302,1,455346,25000000
304,1,455346,25000000
291,1,455346,25000000
284,1,455346,25000000
301,2,455346,25000000
297,2,455346,25000000
401,2,455346,25000000
374,1,483615,25000000
491,1,483615,25000000
496,1,483615,25000000
490,1,483615,25000000
471,1,484643,25000000
487,1,484643,25000000
473,2,484643,25000000
482,3,484643,25000000
484,3,484643,25000000
464,3,484643,25000000
422,2,506809,25000000
404,2,511269,25000000
374,2,511276,25000000
362,2,511276,25000000
324,2,511563,25000000
308,2,511563,25000000
285,2,511563,25000000
262,2,511563,25000000
254,2,511563,25000000
248,2,511563,25000000
240,2,511563,25000000
250,2,511563,25000000
225,3,511563,25000000
224,3,511563,25000000
207,2,511563,25000000
213,2,511563,25000000
196,2,511563,25000000
189,2,511563,25000000
191,2,511563,25000000
212,2,512217,25000000
200,3,512217,25000000
202,3,512217,25000000
191,3,512258,25000000
190,4,512258,25000000
201,4,512258,25000000
169,4,512258,25000000
163,4,512258,25000000
155,4,512258,25000000
147,3,512258,25000000
143,3,512259,25000000
135,3,512259,25000000
140,3,512259,25000000
145,3,512259,25000000
147,3,512259,25000000
142,3,512259,25000000
130,3,512259,25000000
121,3,512259,25000000
112,3,512259,25000000
108,3,512302,25000000
120,2,512302,25000000
116,2,513281,25000000
111,2,513281,25000000
103,2,513281,25000000
93,1,514177,25000000
91,0,518046,25000000
95,0,518046,25000000
91,0,518046,25000000
87,0,518046,25000000
84,0,518046,25000000
78,0,518046,25000000
73,0,518046,25000000
65,0,518046,25000000
58,0,518046,25000000
56,0,518047,25000000
51,0,518047,25000000
46,0,518047,25000000
45,0,518047,25000000
45,0,518047,25000000
44,0,518047,25000000
52,0,518047,25000000
49,0,518047,25000000
46,0,519848,25000000
44,0,519848,25000000
43,0,519848,25000000
49,0,519848,25000000
42,0,519848,25000000
41,0,519848,25000000
41,0,519878,25000000
40,0,519878,25000000
37,0,520993,25000000
37,0,520996,25000000
64,1,520996,25000000
58,1,520996,25000000
52,1,520996,25000000
55,1,520996,25000000
54,1,520996,25000000
67,1,520996,25000000
67,1,520996,25000000
66,1,520996,25000000
67,1,520996,25000000
73,2,520996,25000000
68,2,520996,25000000
112,2,561853,25000000
125,1,561853,25000000
127,1,561853,25000000
140,1,561853,25000000
198,1,561853,25000000
186,1,561853,25000000
253,1,561853,25000000
254,1,561853,25000000
307,1,561853,25000000
392,0,561853,25000000
379,0,561853,25000000
475,0,561853,25000000
441,0,562372,25000000
405,0,562372,25000000
397,1,562372,25000000
574,5,562372,25000000
690,6,562372,25000000
636,6,632111,25000000
585,6,641231,25000000
641,6,641231,25000000
595,5,650109,25000000
642,7,650109,25000000
631,8,650111,25000000
609,6,650350,25000000
571,6,650350,25000000
589,7,650350,25000000
549,7,650350,25000000
541,7,650350,25000000
544,7,650350,25000000
511,7,650350,25000000
483,6,650350,25000000
460,5,650350,25000000
494,5,663481,25000000
564,5,663481,25000000
558,5,663481,25000000
528,6,706984,25000000
493,6,706984,25000000
483,6,706984,25000000
469,6,706984,25000000
443,4,706984,25000000
476,4,706984,25000000
452,4,706984,25000000
451,4,706984,25000000
442,4,706984,25000000
412,4,706998,25000000
395,4,706998,25000000
365,4,706998,25000000
363,4,706998,25000000
355,4,707134,25000000
348,4,707134,25000000
383,4,707134,25000000
355,4,707134,25000000
339,4,707134,25000000
367,4,707141,25000000
336,4,707141,25000000
334,4,707537,25000000
313,4,709729,25000000
307,4,709729,25000000
288,4,709729,25000000
280,4,709871,25000000
262,4,709871,25000000
281,4,709871,25000000
265,3,709871,25000000
245,3,709871,25000000
236,3,709871,25000000
212,2,709871,25000000
204,2,709871,25000000
197,1,709871,25000000
187,1,709871,25000000
189,1,711588,25000000
209,1,711588,25000000
207,1,711588,25000000
201,0,711588,25000000
200,0,711588,25000000
179,0,711588,25000000
204,0,711588,25000000
225,0,711588,25000000
210,0,711588,25000000
194,0,711588,25000000
178,0,711588,25000000
166,0,711588,25000000
165,0,711588,25000000
150,0,711588,25000000
142,0,711588,25000000
149,0,711588,25000000
137,0,711624,25000000
129,0,711624,25000000
123,1,711624,25000000
113,1,711624,25000000
109,1,711624,25000000
101,1,711659,25000000
97,1,711659,25000000
106,1,711659,25000000
100,1,711659,25000000
105,1,711663,25000000
99,1,711663,25000000
95,0,714784,25000000
114,0,714784,25000000
108,0,714784,25000000
111,0,714784,25000000
107,0,714784,25000000
106,0,714886,25000000
100,0,714886,25000000
96,0,714886,25000000
91,0,714886,25000000
83,0,714886,25000000
80,0,714891,25000000
75,0,714891,25000000
67,0,714891,25000000
64,0,714891,25000000
66,0,714891,25000000
60,0,714891,25000000
55,0,714891,25000000
54,0,714891,25000000
54,0,714891,25000000
53,0,714891,25000000
41,0,714891,25000000
38,0,714891,25000000
35,0,714891,25000000
34,0,714891,25000000
33,0,714891,25000000
27,0,715041,25000000
26,0,715041,25000000
28,0,715041,25000000
27,0,715041,25000000
24,0,715332,25000000
29,0,715332,25000000
48,1,715332,25000000
59,1,715332,25000000
48,1,715332,25000000
46,1,715332,25000000
42,1,715332,25000000
38,1,732462,25000000
44,1,732473,25000000
