,Predicted_Infections
0,-0.7820571933783889
1,-0.49351068721005653
2,-0.19471554762320853
3,0.2522397100214544
4,1.0465294804646676
5,1.4743987915298433
6,1.9534036351099529
7,2.1588587413828932
8,2.330911958646883
9,2.3675302130684335
10,2.453326913962857
11,2.8478713357703764
12,2.8881282681635394
13,3.0668497212979506
14,3.116973617676596
15,3.338143995035275
16,3.667039660669955
17,4.314028824601761
18,5.544515890771464
19,6.661232550281159
20,8.12258156959901
21,9.59294285188517
22,11.298144327477416
23,13.083445522503183
24,15.068323790750043
25,17.43033175443258
26,19.37511770972801
27,21.300361376299144
28,22.81492103504919
29,24.123227562626585
30,25.067913425013693
31,25.79695485023739
32,26.541933125326352
33,26.565965532444856
34,26.36245548453886
35,25.632170746031385
36,24.68635120837047
37,23.46524737729409
38,22.211007383383176
39,21.236334610126995
40,19.84919482683292
41,18.588160834042714
42,17.161928924698326
43,15.877976722029617
44,14.645603506673245
45,13.664210980185338
46,13.192295451983345
47,12.458386703733918
48,11.941245597505155
49,11.278279780236318
50,10.723974766274724
51,10.139172895279522
52,9.693956812123846
53,9.633820876479785
54,9.171671551765389
55,8.80619416489946
56,8.191577738891306
57,7.6178827085760235
58,6.979131304600237
59,6.484373293203702
60,6.416113591163859
61,6.00029481174266
62,5.761774744673193
63,5.356321758154758
64,5.075727099518069
65,4.799036064640084
66,4.717202891480726
67,5.0897384622843
68,5.098646147494062
69,5.246457989366752
70,5.15495974379561
71,5.098155234260392
72,4.938162745907714
73,4.863316295206287
74,5.141289116547516
75,4.953842019915335
76,4.833203034000695
77,4.422639536758704
78,4.032178613129211
79,3.5543184165645956
80,3.211395587201496
81,3.3020273814519507
82,3.01479158461117
83,2.902478880907557
84,2.6054584841936084
85,2.4324012343159964
86,2.259126510562779
87,2.2893173611695232
88,2.7987546295977106
89,2.932402037762394
90,3.220626066974271
91,3.26873685299896
92,3.365120847594003
93,3.3644855471201005
94,3.4619738921799588
95,3.934070250928892
96,3.9169353638974647
97,3.9616214336202056
98,3.686276398816835
99,3.407944679013031
